,title,brand,model,price,rating,review_num,operating_system,battery_life,screen_size,dimensions,Hard_Drive_Capacity,Processor Type,Processor Speed,RAM Memory
73,"HP OMEN 15"" Gaming Laptop Intel Core i5 12GB RAM 128GB SSD 1TB HDD GTX 1650 Shadow Black - 9th Gen i5-9300H Quad-core - NVIDIA GeForce GTX 1650 - In-plane Switching Technology - NVIDIA G-SYNC - N",HP,7EJ32UA#ABA,779.00,0,0,Windows 10,11 Hour,,,,Intel i5-9300H,2.40 GHz,
74,"MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 512GB SSD 120Hz GTX 1650 Aluminum Black",MSI,GF75422,1009.00,5,1,Windows 10,,,,,Intel i7-9750H,,
75,Lenovo IdeaPad 330-15IGM 15.6 Inch LCD Notebook - Intel Pentium N5000 Quad-core (4 Core) 1.10 GHz - 4 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Home,Lenovo,81D1000NUS,329.98,0,0,Windows 10,5 hours,"15.6""",10.20 x 14.90 x 0.90 Inches,500.00 GB,Intel Pentium N5000,1.10 GHz,4.00 GB
76,"MSI GL Series GL73 9RCX-030 17.3"" 60 Hz Intel Core i5 9th Gen 9300H (2.40 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",MSI,9RCX-030,842.95,0,0,Windows 10,,,,256 GB,Intel Core i5,,
77,"MSI GL63 9SDK-611 15.6"" Gaming Laptop, Intel Core i7-9750H, NVIDIA GeForce GTX 1660Ti, 16GB, 512GB NVMe SSD, Windows 10",MSI,611,1095.00,0,0,Windows 10,,"15.6""",10.20 x 15.10 x 14.00 Inches,512 GB,Intel Core i7,2.60 GHz,16 GB
78,"HP Onyx Blizzard 15.6"" Laptop, FHD Screen, Intel core i5-7300hq, AMD Radeon RX 550 2GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb035wm",HP,15-cb035wm,659.98,3.4,9,Windows 10,10.00 h,"15.6""",12.01 x 21.73 x 3.00 Inches,1 TB,Intel Core i5 - 7th Generation,2500 GHz,12 GB
79,"HP Omen Laptop 17.3IN, Intel Core i7-9750H, 8GB DDR4, 1TB 7200RPM, 128GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, 17-cb0020nr",HP,6QX59UA#ABA,1149.99,0,0,Windows 10,5 hours,17.30 in,1.00 x 1.00 x 1.00 Inches,1152.00 GB,Intel Core i7-9750H,2.60 GHz,8.00 GB
80,"HP 14"" Touch Screen Widescreen LED-LCD, Intel Core i3-8145U, 4GB DDR4 SDRAM, 128GB SSD, Intel UHD Graphics 620, Bluetooth, Fingerprint reader, Ash Silver Laptop 14-DQ0011DX",HP,14-DQ0011DX,347.99,0,0,Windows 10,,14 in,,128 GB,"Intel Core i3-8145U (2.1 GHz base frequency, up to 3.9 GHz with Intel® Turbo Boost Technology, 4 MB cache, 2 cores)",,4 GB
81,"Dell Chromebook 3120 - 11.6"" with Sim Card Slot - Celeron N2840 (2.16 GHz)- 4 GB RAM - 16 GB SSD - Certified Refurbished",Dell,XDGJH,87.38,0,0,,,,,,,,
82,"IVIEW-ULTIMA 13.3"" Touch Screen 360° Convertible Laptop",IVIEW,ULTIMA,169.99,3.2,210,Windows 10,,"13.3""",13.00 x 9.00 x 0.75 Inches,32 GB,Intel Atom Cherry Trail Z8300 Quad-Core Processor,"1.60 GHz, with a Max Turbo Speed of 1.80 GHz",2 GB
83,"Dell Inspiron 11 3000 11.6"" HD 2-in-1 Laptop, AMD A6-9220e, 4GB 2400MHz DDR4, 32GB eMMC Storage, Windows 10 - Red - i3185-A982RED",Dell,i3185-A982RED,299.93,3.4,1311,Windows 10,,"11.6""",7.90 x 11.50 x 0.80 Inches,32 GB,AMD A6,1.6GHz,4 GB
84,"HP Pavilion 15-cr0037wm X360, 15.6"" FHD Touschscreen, Intel i3-8130U, 4GB RAM, 16GB SSD, 1TB HDD, WIN 10",HP,15-CR0037WM,549.98,3.9,75,Windows 10,10 h,15.6 in,14.10 x 9.60 x 0.75 Inches,1 TB,Intel Core i3 - 8th Generation,2.2 GHz,4 GB
85,"onn. 10.1"" (2-in-1) Windows Tablet with Detachable Keyboard",onn.,100002435,149.00,3.8,20,Windows 10,6 h,"10.1""",,,,,
86,"Tanoshi 2-in-1 Kids Computer a Laptop for Ages 6-12, 10.1"" HD Touchscreen Display (Pink or Blue)",Tanoshi,,189.99,4.6,9,,,"10.1\""",,,,,
